arm,loss,level_weighted,variant,fold_id,test_year,covers_covid,headline,seed,best_epoch,ensemble,mae,rmse,peak_mae,peak_cells,cells
huber_weighted,huber,True,v1,1,2017,False,True,-1,36.333333333333336,True,46.22362518310547,106.83447265625,52.11052703857422,1114,1300
quantile,quantile,True,v1,1,2017,False,True,0,46.0,False,41.068153381347656,95.74067687988281,45.941856384277344,1114,1300
quantile,quantile,True,v1,1,2017,False,True,1,40.0,False,46.064048767089844,101.53084564208984,51.79304885864258,1114,1300
quantile,quantile,True,v1,1,2017,False,True,2,42.0,False,41.12260055541992,91.65447998046875,45.9021110534668,1114,1300
quantile,quantile,True,v1,1,2017,False,True,-1,42.666666666666664,True,42.21162414550781,95.6126480102539,47.28886795043945,1114,1300
baseline,mse,False,v1,2,2018,False,True,0,2.0,False,10.14289379119873,16.20913314819336,16.006126403808594,273,1300
baseline,mse,False,v1,2,2018,False,True,1,3.0,False,10.008613586425781,15.969931602478027,15.920530319213867,273,1300
baseline,mse,False,v1,2,2018,False,True,2,2.0,False,10.1402006149292,16.20393943786621,16.01367950439453,273,1300
baseline,mse,False,v1,2,2018,False,True,-1,2.3333333333333335,True,10.091827392578125,16.109455108642578,15.971726417541504,273,1300
huber,huber,False,v1,2,2018,False,True,0,2.0,False,10.214115142822266,16.292234420776367,16.036468505859375,273,1300
huber,huber,False,v1,2,2018,False,True,1,3.0,False,10.059009552001953,15.999759674072266,15.935951232910156,273,1300
huber,huber,False,v1,2,2018,False,True,2,5.0,False,9.904157638549805,15.696637153625488,15.86682415008545,273,1300
huber,huber,False,v1,2,2018,False,True,-1,3.3333333333333335,True,10.04137897491455,15.965846061706543,15.92851734161377,273,1300
level_weighted,mse,True,v1,2,2018,False,True,0,10.0,False,9.986695289611816,16.2269344329834,17.117816925048828,273,1300
level_weighted,mse,True,v1,2,2018,False,True,1,2.0,False,9.922030448913574,16.34255599975586,16.811132431030273,273,1300
level_weighted,mse,True,v1,2,2018,False,True,2,5.0,False,9.93716049194336,16.226694107055664,16.72496795654297,273,1300
level_weighted,mse,True,v1,2,2018,False,True,-1,5.666666666666667,True,9.929725646972656,16.217716217041016,16.84088134765625,273,1300
huber_weighted,huber,True,v1,2,2018,False,True,0,15.0,False,9.857385635375977,15.78088092803955,16.735326766967773,273,1300
huber_weighted,huber,True,v1,2,2018,False,True,1,2.0,False,9.888090133666992,16.120376586914062,16.512800216674805,273,1300
huber_weighted,huber,True,v1,2,2018,False,True,2,5.0,False,9.907160758972168,16.059446334838867,16.374435424804688,273,1300
