model,variant,fold_id,test_year,covers_covid,headline,seed,best_epoch,mae,rmse,peak_mae,peak_cells,cells
gru_only,v0,4,2020,True,False,1,56,7.32388162612915,15.776090621948242,24.048118591308594,117,1300
gru_only,v0,4,2020,True,False,2,38,7.130948066711426,15.594499588012695,24.907920837402344,117,1300
gcn_gru,v0,5,2021,True,False,0,17,7.132880210876465,19.780548095703125,31.54515838623047,31,1300
gcn_gru,v0,5,2021,True,False,1,28,7.191039562225342,19.561809539794922,32.66365051269531,31,1300
gcn_gru,v0,5,2021,True,False,2,9,7.176969528198242,20.2227725982666,34.46306610107422,31,1300
gru_only,v0,5,2021,True,False,0,23,6.938560485839844,18.51103973388672,35.95464324951172,31,1300
gru_only,v0,5,2021,True,False,1,33,7.1385817527771,18.582815170288086,40.0561408996582,31,1300
gru_only,v0,5,2021,True,False,2,9,6.986746311187744,18.454315185546875,38.145416259765625,31,1300
gcn_gru,v0,6,2022,False,True,0,16,12.30890941619873,22.302261352539062,23.306201934814453,116,1325
gcn_gru,v0,6,2022,False,True,1,15,12.221991539001465,22.261226654052734,23.413286209106445,116,1325
gcn_gru,v0,6,2022,False,True,2,18,12.206024169921875,22.18856430053711,23.663419723510742,116,1325
gru_only,v0,6,2022,False,True,0,13,11.594097137451172,21.054561614990234,24.189998626708984,116,1325
gru_only,v0,6,2022,False,True,1,10,11.65201473236084,21.281143188476562,23.78524398803711,116,1325
gru_only,v0,6,2022,False,True,2,23,11.489405632019043,20.853588104248047,23.50216293334961,116,1325
gcn_gru,v0,7,2023,False,True,0,38,19.031713485717773,43.28705596923828,34.495033264160156,363,1300
gcn_gru,v0,7,2023,False,True,1,29,18.420825958251953,41.624961853027344,33.04684829711914,363,1300
gcn_gru,v0,7,2023,False,True,2,38,18.637935638427734,42.54657745361328,33.52654266357422,363,1300
gru_only,v0,7,2023,False,True,0,64,18.086406707763672,40.955101013183594,34.46237564086914,363,1300
gru_only,v0,7,2023,False,True,1,50,18.15933609008789,41.04256057739258,34.99478530883789,363,1300
gru_only,v0,7,2023,False,True,2,69,17.972328186035156,40.72565841674805,33.77002716064453,363,1300
gcn_gru,v0,8,2024,False,True,0,13,10.081520080566406,19.563905715942383,23.868141174316406,145,1300
gcn_gru,v0,8,2024,False,True,1,32,10.169573783874512,19.157957077026367,23.478378295898438,145,1300
gcn_gru,v0,8,2024,False,True,2,11,10.317267417907715,19.87758445739746,24.602571487426758,145,1300
gru_only,v0,8,2024,False,True,0,52,9.403677940368652,19.074621200561523,22.82877540588379,145,1300
gru_only,v0,8,2024,False,True,1,33,9.351908683776855,19.455677032470703,22.41069221496582,145,1300
gru_only,v0,8,2024,False,True,2,49,9.633971214294434,19.662967681884766,23.818496704101562,145,1300
gcn_gru,v0,9,2025,False,True,0,21,8.988288879394531,15.718865394592285,17.806997299194336,103,1300
gcn_gru,v0,9,2025,False,True,1,35,8.873172760009766,15.423235893249512,18.603914260864258,103,1300
gcn_gru,v0,9,2025,False,True,2,33,9.061077117919922,15.948792457580566,18.548675537109375,103,1300
gru_only,v0,9,2025,False,True,0,49,8.70246410369873,16.152135848999023,19.091514587402344,103,1300
gru_only,v0,9,2025,False,True,1,28,8.728320121765137,16.327516555786133,19.33330535888672,103,1300
gru_only,v0,9,2025,False,True,2,48,8.587457656860352,15.751328468322754,18.6890926361084,103,1300
gcn_gru,v1,1,2017,False,True,0,46,49.98942565917969,115.31916809082031,56.547420501708984,1114,1300
gcn_gru,v1,1,2017,False,True,1,34,55.82947540283203,133.3299102783203,63.3447380065918,1114,1300
gcn_gru,v1,1,2017,False,True,2,36,58.597267150878906,139.9339599609375,66.56124877929688,1114,1300
gru_only,v1,1,2017,False,True,0,45,41.938072204589844,96.4028091430664,47.12066650390625,1114,1300
gru_only,v1,1,2017,False,True,1,62,39.84901428222656,89.6961898803711,44.6462287902832,1114,1300
gru_only,v1,1,2017,False,True,2,67,47.11777114868164,112.79888916015625,53.28038024902344,1114,1300
gcn_gru,v1,2,2018,False,True,0,2,10.14289379119873,16.20913314819336,16.006126403808594,273,1300
gcn_gru,v1,2,2018,False,True,1,3,10.008613586425781,15.969931602478027,15.920530319213867,273,1300
gcn_gru,v1,2,2018,False,True,2,2,10.1402006149292,16.20393943786621,16.01367950439453,273,1300
gru_only,v1,2,2018,False,True,0,31,9.954900741577148,16.941871643066406,18.05112075805664,273,1300
gru_only,v1,2,2018,False,True,1,10,9.848762512207031,16.84187126159668,17.259632110595703,273,1300
gru_only,v1,2,2018,False,True,2,19,9.886795997619629,16.848804473876953,16.86008644104004,273,1300
gcn_gru,v1,3,2019,False,True,0,27,17.276220321655273,35.90895462036133,33.446128845214844,476,1300
gcn_gru,v1,3,2019,False,True,1,29,17.47014808654785,36.645408630371094,33.82691955566406,476,1300
gcn_gru,v1,3,2019,False,True,2,23,18.143911361694336,38.63926315307617,35.863800048828125,476,1300
gru_only,v1,3,2019,False,True,0,19,16.778825759887695,34.88224411010742,32.98484420776367,476,1300
gru_only,v1,3,2019,False,True,1,41,17.07857894897461,36.696102142333984,33.71973419189453,476,1300
gru_only,v1,3,2019,False,True,2,39,16.61189079284668,35.369384765625,32.70646667480469,476,1300
gcn_gru,v1,4,2020,True,False,0,20,7.380745887756348,15.75118350982666,26.84035873413086,117,1300
gcn_gru,v1,4,2020,True,False,1,16,7.099344730377197,15.19214916229248,25.210918426513672,117,1300
gcn_gru,v1,4,2020,True,False,2,30,7.988790035247803,17.37952423095703,30.13618278503418,117,1300
gru_only,v1,4,2020,True,False,0,87,7.6751322746276855,17.511919021606445,27.523530960083008,117,1300
gru_only,v1,4,2020,True,False,1,46,7.337681770324707,16.57610511779785,24.99109649658203,117,1300
gru_only,v1,4,2020,True,False,2,70,6.784670829772949,14.664377212524414,22.284915924072266,117,1300
gcn_gru,v1,5,2021,True,False,0,23,7.283191204071045,19.724395751953125,34.79633331298828,31,1300
gcn_gru,v1,5,2021,True,False,1,11,7.166135787963867,20.097848892211914,34.17428970336914,31,1300
gcn_gru,v1,5,2021,True,False,2,15,7.173697471618652,19.426536560058594,33.00749969482422,31,1300
gru_only,v1,5,2021,True,False,0,32,7.074734210968018,18.079423904418945,37.90101623535156,31,1300
gru_only,v1,5,2021,True,False,1,33,7.157893657684326,18.184001922607422,39.85358810424805,31,1300
gru_only,v1,5,2021,True,False,2,17,7.0292487144470215,18.144445419311523,38.14463806152344,31,1300
gcn_gru,v1,6,2022,False,True,0,12,12.107271194458008,22.106462478637695,23.803007125854492,116,1325
gcn_gru,v1,6,2022,False,True,1,12,12.125024795532227,22.150911331176758,23.472610473632812,116,1325
gcn_gru,v1,6,2022,False,True,2,13,12.124615669250488,22.139997482299805,23.793004989624023,116,1325
gru_only,v1,6,2022,False,True,0,6,11.68525218963623,21.226640701293945,23.47810173034668,116,1325
gru_only,v1,6,2022,False,True,1,12,11.55307388305664,20.99863052368164,23.87273406982422,116,1325
gru_only,v1,6,2022,False,True,2,11,11.636954307556152,21.160179138183594,23.11980628967285,116,1325
gcn_gru,v1,7,2023,False,True,0,45,19.359045028686523,42.85840606689453,35.995445251464844,363,1300
gcn_gru,v1,7,2023,False,True,1,28,18.77467918395996,42.37007141113281,34.76283645629883,363,1300
gcn_gru,v1,7,2023,False,True,2,39,19.350229263305664,43.067562103271484,35.730648040771484,363,1300
gru_only,v1,7,2023,False,True,0,28,18.029508590698242,40.151737213134766,34.52535629272461,363,1300
gru_only,v1,7,2023,False,True,1,76,17.927978515625,39.52949905395508,33.9893913269043,363,1300
gru_only,v1,7,2023,False,True,2,39,17.88349151611328,39.92729187011719,34.25806427001953,363,1300
gcn_gru,v1,8,2024,False,True,0,10,9.874927520751953,18.655893325805664,22.881872177124023,145,1300
gcn_gru,v1,8,2024,False,True,1,14,10.146541595458984,19.2130184173584,23.784025192260742,145,1300
gcn_gru,v1,8,2024,False,True,2,11,10.242286682128906,19.502099990844727,23.839645385742188,145,1300
gru_only,v1,8,2024,False,True,0,27,9.16684627532959,18.43047332763672,22.197078704833984,145,1300
gru_only,v1,8,2024,False,True,1,32,9.09583568572998,18.347604751586914,21.635562896728516,145,1300
gru_only,v1,8,2024,False,True,2,49,9.188445091247559,18.534740447998047,22.1241455078125,145,1300
gcn_gru,v1,9,2025,False,True,0,13,8.862879753112793,15.382149696350098,16.85619354248047,103,1300
gcn_gru,v1,9,2025,False,True,1,17,9.058110237121582,15.932122230529785,17.457448959350586,103,1300
gcn_gru,v1,9,2025,False,True,2,26,9.01138973236084,15.970937728881836,17.707805633544922,103,1300
gru_only,v1,9,2025,False,True,0,28,8.286556243896484,15.014233589172363,17.727306365966797,103,1300
gru_only,v1,9,2025,False,True,1,38,8.367575645446777,15.116170883178711,18.049240112304688,103,1300
gru_only,v1,9,2025,False,True,2,23,8.380910873413086,15.371879577636719,17.664518356323242,103,1300
