node_id,canonical_name,mae,model,fold_id
1,Anuradhapura,7.8076923076923075,seasonal_naive,5
2,Badulla,19.01923076923077,seasonal_naive,5
3,Batticaloa,49.25,seasonal_naive,5
4,Colombo,88.26923076923077,seasonal_naive,5
5,Galle,24.96153846153846,seasonal_naive,5
6,Gampaha,47.69230769230769,seasonal_naive,5
7,Hambantota,9.48076923076923,seasonal_naive,5
8,Jaffna,42.05769230769231,seasonal_naive,5
9,Kalutara,30.0,seasonal_naive,5
10,Kandy,57.19230769230769,seasonal_naive,5
11,Kegalle,15.25,seasonal_naive,5
12,Kilinochchi,2.8461538461538463,seasonal_naive,5
13,Kurunegala,29.673076923076923,seasonal_naive,5
14,Mannar,5.384615384615385,seasonal_naive,5
15,Matale,10.615384615384615,seasonal_naive,5
16,Matara,15.211538461538462,seasonal_naive,5
17,Moneragala,3.6923076923076925,seasonal_naive,5
18,Mullaitivu,0.9615384615384616,seasonal_naive,5
19,Nuwara Eliya,3.6153846153846154,seasonal_naive,5
20,Polonnaruwa,4.865384615384615,seasonal_naive,5
21,Puttalam,14.173076923076923,seasonal_naive,5
22,Ratnapura,32.36538461538461,seasonal_naive,5
23,Trincomalee,42.92307692307692,seasonal_naive,5
24,Vavuniya,4.038461538461538,seasonal_naive,5
0,Ampara,10.264150943396226,persistence,6
1,Anuradhapura,3.9622641509433962,persistence,6
2,Badulla,10.09433962264151,persistence,6
3,Batticaloa,5.60377358490566,persistence,6
4,Colombo,27.39622641509434,persistence,6
5,Galle,17.169811320754718,persistence,6
6,Gampaha,32.283018867924525,persistence,6
7,Hambantota,13.30188679245283,persistence,6
8,Jaffna,24.09433962264151,persistence,6
9,Kalutara,21.09433962264151,persistence,6
10,Kandy,20.18867924528302,persistence,6
11,Kegalle,23.50943396226415,persistence,6
12,Kilinochchi,2.0377358490566038,persistence,6
13,Kurunegala,17.79245283018868,persistence,6
14,Mannar,3.509433962264151,persistence,6
15,Matale,9.358490566037736,persistence,6
16,Matara,11.79245283018868,persistence,6
17,Moneragala,4.415094339622642,persistence,6
18,Mullaitivu,1.169811320754717,persistence,6
19,Nuwara Eliya,2.7169811320754715,persistence,6
20,Polonnaruwa,2.018867924528302,persistence,6
21,Puttalam,23.88679245283019,persistence,6
22,Ratnapura,15.943396226415095,persistence,6
23,Trincomalee,9.264150943396226,persistence,6
24,Vavuniya,1.4528301886792452,persistence,6
0,Ampara,20.547169811320753,seasonal_naive,6
1,Anuradhapura,5.150943396226415,seasonal_naive,6
2,Badulla,17.71698113207547,seasonal_naive,6
3,Batticaloa,48.9622641509434,seasonal_naive,6
4,Colombo,51.905660377358494,seasonal_naive,6
5,Galle,26.962264150943398,seasonal_naive,6
6,Gampaha,39.9811320754717,seasonal_naive,6
7,Hambantota,20.28301886792453,seasonal_naive,6
8,Jaffna,50.716981132075475,seasonal_naive,6
