date,canonical_name,rainfall_era5,rainfall_chirps,difference_mm,agreement
2010-10-01,Colombo,31.9229753927302,60.19072237612985,-28.27,chirps only
2010-10-02,Colombo,81.788123973612,48.09886800544913,33.69,era5 only
2010-11-11,Colombo,105.33753239012002,4.021904425881128,101.32,era5 only
2010-11-22,Colombo,67.0513773967599,83.0992781105042,-16.05,both
2010-11-30,Colombo,37.00315110307022,54.27500855931373,-17.27,chirps only
2010-12-09,Colombo,24.04754558071025,58.27404541917281,-34.23,chirps only
2011-02-01,Colombo,13.034032679592205,51.19030504742535,-38.16,chirps only
2011-02-02,Colombo,21.67406993177951,52.95221135694332,-31.28,chirps only
2011-03-04,Colombo,52.29232837387445,11.995073664014992,40.3,era5 only
2011-04-27,Colombo,14.947442903369364,54.90609686114573,-39.96,chirps only
2011-05-25,Colombo,10.106854474747882,55.77566642700545,-45.67,chirps only
2011-05-27,Colombo,8.49239049145522,56.82623484949636,-48.33,chirps only
2011-09-13,Colombo,43.07868909587034,59.04448419293492,-15.97,chirps only
2011-10-23,Colombo,59.94255972548433,23.788417367241607,36.15,era5 only
2012-02-14,Colombo,91.80019509419516,19.11678288310225,72.68,era5 only
2012-03-13,Colombo,66.64314160966609,37.71068476104738,28.93,era5 only
2012-04-23,Colombo,9.05008230848713,69.7691237337806,-60.72,chirps only
2012-05-25,Colombo,15.886142756278424,56.72354110323299,-40.84,chirps only
2012-07-09,Colombo,51.01549453911613,26.347787961569708,24.67,era5 only
2012-10-23,Colombo,55.77705308035953,11.071407114722511,44.71,era5 only
2012-10-29,Colombo,51.58247080090087,62.49821497683095,-10.92,both
2012-10-30,Colombo,15.041596092928462,58.08468261337281,-43.04,chirps only
2012-11-07,Colombo,52.99062317409357,7.473522704872223,45.52,era5 only
2012-11-24,Colombo,54.59514172293572,27.588453110824936,27.01,era5 only
2012-11-27,Colombo,60.92933833326651,25.54383514807442,35.39,era5 only
2012-12-17,Colombo,8.247964335504722,68.75160483473,-60.5,chirps only
2013-01-07,Colombo,71.51278608435439,33.81759675728193,37.7,era5 only
2013-05-31,Colombo,52.27738694729719,64.99452839686657,-12.72,both
2013-09-07,Colombo,8.67096474906569,56.49626310071077,-47.83,chirps only
2013-09-12,Colombo,28.742920286842843,147.27601833360848,-118.53,chirps only
2013-10-18,Colombo,19.78040439548046,57.8689120388031,-38.09,chirps only
2013-10-30,Colombo,75.0551365642474,24.28027291128852,50.77,era5 only
2014-04-27,Colombo,81.71373077380332,14.955753876794477,66.76,era5 only
2014-06-12,Colombo,34.42565550709393,66.49331246445398,-32.07,chirps only
2014-07-27,Colombo,29.13841094776818,71.29841909486599,-42.16,chirps only
2014-08-17,Colombo,20.69131489052136,62.52156272563071,-41.83,chirps only
2014-10-03,Colombo,19.747324335880933,59.85318266079644,-40.11,chirps only
2014-10-15,Colombo,92.93818289397616,37.77547641524403,55.16,era5 only
2014-12-17,Colombo,64.2833596243279,15.080126416943278,49.2,era5 only
2014-12-20,Colombo,50.63052700243077,25.402989855116072,25.23,era5 only
2014-12-25,Colombo,76.13274108724048,37.88213237584724,38.25,era5 only
2015-04-01,Colombo,51.003953972061616,19.32484182929993,31.68,era5 only
2015-04-20,Colombo,73.3042816329411,25.35392020294884,47.95,era5 only
2015-10-16,Colombo,115.6159197714028,24.95600690421192,90.66,era5 only
2015-10-18,Colombo,79.79012441814534,18.72878259975261,61.06,era5 only
2015-12-18,Colombo,50.625168483821774,8.19838200521469,42.43,era5 only
2016-05-11,Colombo,22.704044183330165,51.67971459271693,-28.98,chirps only
2016-05-13,Colombo,57.56602783431244,37.73936673671551,19.83,era5 only
2016-05-14,Colombo,65.57541649334878,46.89357542194021,18.68,era5 only
